Sr no.,Name,Mobile,Location,Wedding Location,Event Date,Email,Budget Range,Guest,Services,Status
1,Avinash,8888888888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,100,Wedding Planner,Null
2,Prahlad,9999999999,Delhi,Delhi,2025-08-21,prahlad@gmail.com,3-5 Lakhs,200,Wedding Planner,Null
3,Roshan,8887868888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,500,Wedding Planner,Null
4,Roshan1,8887868888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,500,Wedding Planner,Null
5,Roshan2,8882368888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,500,Wedding Planner,Null
6,Roshan3,8888968888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,500,Wedding Planner,Null
7,Roshan4,8865868888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,500,Wedding Planner,Null
8,Roshan5,8127868888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,500,Wedding Planner,Null
9,Roshan8,8217868888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,500,Wedding Planner,Null
10,Roshan9,8547868888,Noida,Noida,2025-08-21,avinash@gmail.com,1-3 Lakhs,500,Wedding Planner,Null
